episode:63; total step:220; total_reword:76.534 loss:0.00991; actual_eps:0.96; ave_Q:29.7008113861084
episode:64; total step:220; total_reword:78.984 loss:0.01043; actual_eps:0.96; ave_Q:29.755531311035156
episode:65; total step:220; total_reword:56.061 loss:0.00965; actual_eps:0.96; ave_Q:32.142520904541016
episode:66; total step:220; total_reword:128.437 loss:0.01009; actual_eps:0.96; ave_Q:37.06825637817383
episode:67; total step:220; total_reword:124.656 loss:0.00973; actual_eps:0.96; ave_Q:41.033447265625
episode:68; total step:220; total_reword:66.722 loss:0.01004; actual_eps:0.96; ave_Q:25.91022300720215
episode:69; total step:220; total_reword:90.133 loss:0.00995; actual_eps:0.96; ave_Q:37.77251434326172
episode:70; total step:220; total_reword:131.024 loss:0.00969; actual_eps:0.96; ave_Q:42.91097640991211
episode:71; total step:220; total_reword:109.072 loss:0.00995; actual_eps:0.96; ave_Q:34.95975112915039
episode:72; total step:220; total_reword:106.805 loss:0.01039; actual_eps:0.96; ave_Q:41.518192291259766
episode:73; total step:220; total_reword:86.807 loss:0.00957; actual_eps:0.96; ave_Q:32.634490966796875
episode:74; total step:220; total_reword:79.661 loss:0.01018; actual_eps:0.96; ave_Q:32.35636901855469
episode:75; total step:220; total_reword:31.387 loss:0.00982; actual_eps:0.96; ave_Q:10.702555656433105
episode:76; total step:220; total_reword:75.335 loss:0.01002; actual_eps:0.96; ave_Q:37.234893798828125
episode:77; total step:220; total_reword:112.617 loss:0.00954; actual_eps:0.96; ave_Q:42.35346603393555
episode:78; total step:220; total_reword:109.568 loss:0.00956; actual_eps:0.96; ave_Q:37.008888244628906
episode:79; total step:220; total_reword:20.821 loss:0.00975; actual_eps:0.96; ave_Q:6.898880958557129
episode:80; total step:220; total_reword:103.219 loss:0.00956; actual_eps:0.96; ave_Q:39.74577331542969
episode:81; total step:220; total_reword:83.246 loss:0.00980; actual_eps:0.96; ave_Q:33.459693908691406
episode:82; total step:220; total_reword:115.041 loss:0.00992; actual_eps:0.95; ave_Q:33.8033447265625
episode:83; total step:220; total_reword:87.807 loss:0.00988; actual_eps:0.95; ave_Q:43.522708892822266
