episode:63; total step:290; total_reword:15.654 loss:0.06035; actual_eps:0.95; ave_Q:23.280208587646484
episode:64; total step:290; total_reword:13.905 loss:0.06069; actual_eps:0.95; ave_Q:9.624897956848145
episode:65; total step:290; total_reword:-37.179 loss:0.05882; actual_eps:0.95; ave_Q:0.6042932868003845
episode:66; total step:290; total_reword:100.744 loss:0.05594; actual_eps:0.95; ave_Q:25.668201446533203
episode:67; total step:290; total_reword:59.669 loss:0.05760; actual_eps:0.95; ave_Q:23.084827423095703
episode:68; total step:290; total_reword:105.057 loss:0.06206; actual_eps:0.95; ave_Q:28.954524993896484
episode:69; total step:290; total_reword:103.292 loss:0.05805; actual_eps:0.95; ave_Q:25.106685638427734
episode:70; total step:290; total_reword:79.941 loss:0.05346; actual_eps:0.95; ave_Q:34.90090560913086
episode:71; total step:290; total_reword:33.057 loss:0.05667; actual_eps:0.95; ave_Q:12.622533798217773
episode:72; total step:290; total_reword:29.091 loss:0.05557; actual_eps:0.95; ave_Q:44.6242561340332
episode:73; total step:290; total_reword:24.611 loss:0.05698; actual_eps:0.95; ave_Q:11.618289947509766
episode:74; total step:290; total_reword:87.686 loss:0.05541; actual_eps:0.95; ave_Q:20.728132247924805
episode:75; total step:290; total_reword:14.415 loss:0.05602; actual_eps:0.95; ave_Q:11.058043479919434
episode:76; total step:290; total_reword:126.151 loss:0.05652; actual_eps:0.95; ave_Q:29.24813461303711
episode:77; total step:290; total_reword:-5.972 loss:0.05460; actual_eps:0.95; ave_Q:7.51671028137207
episode:78; total step:290; total_reword:107.390 loss:0.05388; actual_eps:0.95; ave_Q:25.018686294555664
episode:79; total step:290; total_reword:23.718 loss:0.05582; actual_eps:0.95; ave_Q:35.126007080078125
episode:80; total step:290; total_reword:-43.923 loss:0.05432; actual_eps:0.94; ave_Q:16.015010833740234
episode:81; total step:290; total_reword:86.450 loss:0.05483; actual_eps:0.94; ave_Q:20.24121856689453
episode:82; total step:290; total_reword:57.712 loss:0.05347; actual_eps:0.94; ave_Q:20.377809524536133
episode:83; total step:290; total_reword:-12.191 loss:0.05453; actual_eps:0.94; ave_Q:4.942004680633545
episode:84; total step:290; total_reword:119.999 loss:0.05438; actual_eps:0.94; ave_Q:30.29741096496582
episode:85; total step:290; total_reword:46.896 loss:0.05570; actual_eps:0.94; ave_Q:18.17041778564453
episode:86; total step:290; total_reword:49.751 loss:0.05397; actual_eps:0.94; ave_Q:16.553146362304688
episode:87; total step:290; total_reword:96.411 loss:0.05584; actual_eps:0.94; ave_Q:23.6054630279541
episode:88; total step:290; total_reword:98.331 loss:0.05059; actual_eps:0.94; ave_Q:22.573835372924805
episode:89; total step:290; total_reword:78.680 loss:0.05021; actual_eps:0.94; ave_Q:18.553165435791016
episode:90; total step:290; total_reword:-20.845 loss:0.05608; actual_eps:0.94; ave_Q:14.549360275268555
episode:91; total step:290; total_reword:55.077 loss:0.05218; actual_eps:0.94; ave_Q:20.871891021728516
episode:92; total step:290; total_reword:3.247 loss:0.05289; actual_eps:0.94; ave_Q:22.83193588256836
episode:93; total step:290; total_reword:122.855 loss:0.05315; actual_eps:0.94; ave_Q:35.149662017822266
episode:94; total step:290; total_reword:24.143 loss:0.05243; actual_eps:0.94; ave_Q:13.920011520385742
episode:95; total step:290; total_reword:-20.957 loss:0.05444; actual_eps:0.94; ave_Q:19.389266967773438
episode:96; total step:290; total_reword:32.174 loss:0.05251; actual_eps:0.94; ave_Q:10.068090438842773
episode:97; total step:290; total_reword:-12.228 loss:0.05219; actual_eps:0.93; ave_Q:7.9825825691223145
episode:98; total step:290; total_reword:69.771 loss:0.05209; actual_eps:0.93; ave_Q:22.609411239624023
episode:99; total step:290; total_reword:84.163 loss:0.05198; actual_eps:0.93; ave_Q:22.484619140625
episode:100; total step:290; total_reword:22.191 loss:0.05612; actual_eps:0.93; ave_Q:11.763404846191406
episode:101; total step:290; total_reword:-50.237 loss:0.05231; actual_eps:0.93; ave_Q:2.454362154006958
episode:102; total step:290; total_reword:35.751 loss:0.05007; actual_eps:0.93; ave_Q:21.013742446899414
