episode:62; total step:220; total_reword:44.354 loss:0.03000; actual_eps:0.96; ave_Q:6.469160079956055
episode:63; total step:220; total_reword:23.952 loss:0.02964; actual_eps:0.96; ave_Q:7.16033935546875
episode:64; total step:220; total_reword:5.960 loss:0.02839; actual_eps:0.96; ave_Q:5.662384986877441
episode:65; total step:220; total_reword:54.939 loss:0.02718; actual_eps:0.96; ave_Q:12.314166069030762
episode:66; total step:220; total_reword:32.376 loss:0.02685; actual_eps:0.96; ave_Q:6.939988613128662
episode:67; total step:220; total_reword:62.753 loss:0.02710; actual_eps:0.96; ave_Q:18.947208404541016
episode:68; total step:220; total_reword:28.310 loss:0.02645; actual_eps:0.96; ave_Q:18.522144317626953
episode:69; total step:220; total_reword:36.850 loss:0.02578; actual_eps:0.96; ave_Q:19.871845245361328
episode:70; total step:220; total_reword:52.674 loss:0.02617; actual_eps:0.96; ave_Q:13.40506362915039
episode:71; total step:220; total_reword:9.985 loss:0.02539; actual_eps:0.96; ave_Q:10.530265808105469
episode:72; total step:220; total_reword:35.633 loss:0.02561; actual_eps:0.96; ave_Q:12.000970840454102
episode:73; total step:220; total_reword:94.903 loss:0.02506; actual_eps:0.96; ave_Q:16.646018981933594
episode:74; total step:220; total_reword:43.094 loss:0.02436; actual_eps:0.96; ave_Q:11.434159278869629
episode:75; total step:220; total_reword:-49.420 loss:0.02346; actual_eps:0.96; ave_Q:15.569543838500977
episode:76; total step:220; total_reword:-4.891 loss:0.02466; actual_eps:0.96; ave_Q:0.520750105381012
episode:77; total step:220; total_reword:51.189 loss:0.02537; actual_eps:0.96; ave_Q:14.601367950439453
episode:78; total step:220; total_reword:6.020 loss:0.02445; actual_eps:0.96; ave_Q:5.379004001617432
episode:79; total step:220; total_reword:1.246 loss:0.02427; actual_eps:0.96; ave_Q:6.429922580718994
episode:80; total step:220; total_reword:-30.517 loss:0.02372; actual_eps:0.96; ave_Q:11.543617248535156
episode:81; total step:220; total_reword:45.295 loss:0.02441; actual_eps:0.96; ave_Q:14.101044654846191
episode:82; total step:220; total_reword:37.330 loss:0.02268; actual_eps:0.95; ave_Q:16.314977645874023
episode:83; total step:220; total_reword:34.192 loss:0.02368; actual_eps:0.95; ave_Q:12.549249649047852
episode:84; total step:220; total_reword:-38.372 loss:0.02257; actual_eps:0.95; ave_Q:9.453242301940918
episode:85; total step:220; total_reword:16.871 loss:0.02259; actual_eps:0.95; ave_Q:18.9127197265625
episode:86; total step:220; total_reword:51.042 loss:0.02284; actual_eps:0.95; ave_Q:18.589012145996094
episode:87; total step:220; total_reword:16.386 loss:0.02236; actual_eps:0.95; ave_Q:12.899572372436523
episode:88; total step:220; total_reword:69.569 loss:0.02281; actual_eps:0.95; ave_Q:15.711793899536133
episode:89; total step:220; total_reword:27.588 loss:0.02194; actual_eps:0.95; ave_Q:3.372764825820923
episode:90; total step:220; total_reword:42.642 loss:0.02177; actual_eps:0.95; ave_Q:19.400737762451172
episode:91; total step:220; total_reword:-30.122 loss:0.02137; actual_eps:0.95; ave_Q:15.879042625427246
episode:92; total step:220; total_reword:-10.074 loss:0.02198; actual_eps:0.95; ave_Q:19.113788604736328
episode:93; total step:220; total_reword:52.276 loss:0.02150; actual_eps:0.95; ave_Q:18.517789840698242
episode:94; total step:220; total_reword:90.863 loss:0.02210; actual_eps:0.95; ave_Q:18.56842041015625
episode:95; total step:220; total_reword:46.894 loss:0.02214; actual_eps:0.95; ave_Q:18.947101593017578
episode:96; total step:220; total_reword:15.231 loss:0.02124; actual_eps:0.95; ave_Q:5.641926288604736
episode:97; total step:220; total_reword:31.144 loss:0.02128; actual_eps:0.95; ave_Q:7.374125957489014
episode:98; total step:220; total_reword:32.246 loss:0.02144; actual_eps:0.95; ave_Q:16.811975479125977
episode:99; total step:220; total_reword:85.072 loss:0.02096; actual_eps:0.95; ave_Q:16.840490341186523
episode:100; total step:220; total_reword:-1.975 loss:0.02017; actual_eps:0.95; ave_Q:12.913576126098633
episode:101; total step:220; total_reword:32.460 loss:0.02107; actual_eps:0.95; ave_Q:13.829238891601562
episode:102; total step:220; total_reword:59.265 loss:0.02066; actual_eps:0.95; ave_Q:21.252809524536133
episode:103; total step:220; total_reword:67.303 loss:0.02029; actual_eps:0.95; ave_Q:20.490642547607422
episode:104; total step:220; total_reword:-40.836 loss:0.02011; actual_eps:0.95; ave_Q:10.623123168945312
episode:105; total step:220; total_reword:17.490 loss:0.02035; actual_eps:0.94; ave_Q:20.164560317993164
episode:106; total step:220; total_reword:20.810 loss:0.02028; actual_eps:0.94; ave_Q:13.339112281799316
episode:107; total step:220; total_reword:-16.158 loss:0.01960; actual_eps:0.94; ave_Q:11.40329360961914
episode:108; total step:220; total_reword:3.028 loss:0.02080; actual_eps:0.94; ave_Q:10.341943740844727
episode:109; total step:220; total_reword:69.275 loss:0.02000; actual_eps:0.94; ave_Q:25.15825843811035
episode:110; total step:220; total_reword:26.641 loss:0.01940; actual_eps:0.94; ave_Q:17.018169403076172
episode:111; total step:220; total_reword:76.344 loss:0.01970; actual_eps:0.94; ave_Q:20.451339721679688
episode:112; total step:220; total_reword:35.289 loss:0.01989; actual_eps:0.94; ave_Q:19.047571182250977
episode:113; total step:220; total_reword:-27.753 loss:0.01965; actual_eps:0.94; ave_Q:14.662440299987793
episode:114; total step:220; total_reword:-18.907 loss:0.02024; actual_eps:0.94; ave_Q:20.596694946289062
episode:115; total step:220; total_reword:69.862 loss:0.02048; actual_eps:0.94; ave_Q:18.551727294921875
episode:116; total step:220; total_reword:36.164 loss:0.02045; actual_eps:0.94; ave_Q:18.114662170410156
episode:117; total step:220; total_reword:58.255 loss:0.02057; actual_eps:0.94; ave_Q:22.71335220336914
episode:118; total step:220; total_reword:42.901 loss:0.02044; actual_eps:0.94; ave_Q:18.712366104125977
